,timeCorr,time,instance_events_type,scheduling_class,collection_type,priority,instance_index,collections_events_type,vertical_scaling,scheduler,assigned_memory,page_cache_memory,cycles_per_instruction,memory_accesses_per_instruction,sample_rate,cluster,event,failed,offset,hours,hourBin,time_diff_hrs,eventIndex,resource_request_cpu,resource_request_memory,average_usage_cpu,average_usage_memory,maximum_usage_cpu,maximum_usage_memory,random_sample_usage_cpu,cpu_mean,cpu_std_dev,cpu_median,tail_cpu_mean,tail_cpu_std_dev,tail_cpu_median
0,1970-01-01 00:00:00.002516705,2517305308183,2,2,0,0.8,335,2,2,0,0.0,0.0,0.0,0.0,1.0,7,FAIL,1,600000000,699,3,0.0,2,0.0072402954101562,0.0013027191162109,0.0,9.5367431640625e-07,0.0,9.5367431640625e-07,0.0,1.23977661e-05,0.0,1.23977661e-05,1.23977661e-05,0.0,1.23977661e-05
1,1970-01-01 00:00:00.000195084,195684022913,6,2,0,0.2288888888888889,376,6,2,1,0.0364227815699658,0.0002346038818359,0.9399186372756958,0.0013179824454709,1.0,7,SCHEDULE,0,600000000,54,6,0.9966666666666666,7,0.048583984375,0.0041656494140625,0.024200439453125,0.0027885437011718,0.06005859375,0.0028457641601562,0.026458740234375,0.02396046,0.0049328768630559,0.02490234,0.0299445266666666,0.0006036638267188,0.02987671
2,1970-01-01 00:00:00.001810027,1810627494172,3,2,0,0.0,3907,3,3,0,0.0009498986774741,9.5367431640625e-06,0.0,0.0,1.0,2,FINISH,0,600000000,502,22,0.0033333333333333,3,0.0024490356445312,0.0002317428588867,0.0002708435058593,7.62939453125e-05,0.0004148483276367,7.62939453125e-05,0.0003414154052734,0.0002074681818181,0.0001977720247161,0.0002079,0.00041485,0.0,0.00041485
3,1970-01-01 00:00:00.001626144,1626744497194,6,0,0,0.2288888888888889,345,6,3,1,0.0189046501706482,0.0018444061279296,0.0,0.0,1.0,5,SCHEDULE,0,600000000,451,19,0.5333333333333333,7,0.0615234375,0.0054092407226562,0.0794677734375,0.00323486328125,0.21923828125,0.0040512084960937,0.03631591796875,0.0799109719307909,0.0557714660095955,0.101928711,0.1417643233333333,0.0074051520755739,0.14086914
4,1970-01-01 00:00:00.000130121,130721370174,0,1,0,0.26,13138,0,1,0,0.0076525170648462,5.7220458984375e-06,0.6466888785362244,0.0079374993219971,1.0,7,ENABLE,0,600000000,36,12,0.9966666666666666,0,0.0056686401367187,0.0015621185302734,0.0042572021484375,0.0013160705566406,0.012481689453125,0.0016536712646484,0.0031547546386718,0.0045897745454545,0.0033420052054672,0.00376511,0.0083329944444444,0.0012804240677222,0.00769043
5,1970-01-01 00:00:00.002372750,2373350421416,3,2,0,0.2288888888888889,393,3,2,1,0.0051527837030714,5.91278076171875e-05,1.7679935693740845,0.0175051745027303,1.0,7,FINISH,0,600000000,659,11,0.9966666666666666,3,0.022003173828125,0.0015010833740234,0.0064697265625,0.0007581710815429,0.027984619140625,0.0007820129394531,0.005615234375,0.006663929090909,0.0036058506130062,0.00614929,0.0110032833333333,0.000958579423835,0.01075745
6,1970-01-01 00:00:00.001969614,1970214287222,0,0,0,0.0,19760,0,1,0,0.0233575085324232,9.5367431640625e-07,3.4928548336029053,0.0095059815794229,1.0,5,ENABLE,0,600000000,547,19,0.9966666666666666,0,0.0081024169921875,0.0036125183105468,0.0002002716064453,0.0006771087646484,0.0008182525634765,0.0006790161132812,0.000493049621582,0.0002437081818181,0.0002021475949452,0.00017262,0.0003883555555555,0.0001055496184646,0.00033474
7,1970-01-01 00:00:00.002211603,2212203898561,6,0,0,0.2288888888888889,90,6,2,1,0.0237308020477815,0.0001583099365234,1.3624058961868286,0.0124485762789845,1.0,7,SCHEDULE,0,600000000,614,14,0.9966666666666666,7,0.09716796875,0.0067672729492187,0.0121917724609375,0.004119873046875,0.026611328125,0.004241943359375,0.0102996826171875,0.0124454499999999,0.0057858931038958,0.01193237,0.01989407,0.0024158180322983,0.0194397
8,1970-01-01 00:00:00.000035655,36255576255,6,0,1,0.2577777777777778,1758,6,2,1,0.0175181313993172,0.0005407333374023,0.0,0.0,1.0,2,SCHEDULE,0,600000000,9,9,0.9966666666666666,7,0.01629638671875,0.0048370361328125,0.000518798828125,0.0026702880859375,0.0023345947265625,0.0026702880859375,0.0004920959472656,0.0,0.0,0.0,0.0,0.0,0.0
9,1970-01-01 00:00:00.000723022,723622816016,1,1,0,0.2288888888888889,8880,1,2,1,0.0364227815699658,2.86102294921875e-06,0.9983146786689758,0.0028721294365823,1.0,6,EVICT,0,600000000,200,8,0.0066666666666666,1,0.04119873046875,0.0104217529296875,0.0010490417480468,6.580352783203125e-05,0.013275146484375,6.961822509765625e-05,0.0047454833984375,0.0006974827170772,0.0009103061969548,2.19345093e-05,0.00190163,2.1684043449710093e-19,0.00190163
